title,link,cited_number,cited_papers_link,related_papers_link,snippet,versions_number,all_versions_link,paper_id
Sentimentgpt: Exploiting gpt for advanced sentiment analysis and its departure from current machine learning,https://arxiv.org/abs/2307.10234,10,"https://scholar.google.com/scholar?cites=15699608190493445450&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… the SemEval 2017 - Task 4 dataset and our GPT model implementation. This section also presents our comparative analysis of GPT and traditional models. Finally, we conclude our …",2,"https://scholar.google.com/scholar?cluster=15699608190493445450&hl=en&as_sdt=0,5",va2CLe7t
How chat GPT can transform autodidactic experiences and open education,https://www.researchgate.net/profile/Mehmet-Firat-4/publication/367613715_How_Chat_GPT_Can_Transform_Autodidactic_Experiences_and_Open_Education/links/642d1d67ad9b6d17dc37cd53/How-Chat-GPT-Can-Transform-Autodidactic-Experiences-and-Open-Education.pdf,79,"https://scholar.google.com/scholar?cites=16676535399945459739&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:G9j5FZf0bucJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… connect with Chat GPT, and Chat GPT will respond … GPT is often built to be able to manage multiple concurrent chats with various users. The GPT-3 language model is used by Chat GPT…",3,"https://scholar.google.com/scholar?cluster=16676535399945459739&hl=en&as_sdt=0,5",QlqvcLIk
"… pretrained, large artificial intelligence linguistic models in the US health care system: outlook of generative pretrained transformer 3 (GPT-3) as a service …",https://medinform.jmir.org/2022/2/e32875,51,"https://scholar.google.com/scholar?cites=6480154719410751452&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:3IcMTGIi7lkJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… A successful deployment of GPT-3 would need to overcome all of these standard barriers to … challenges that GPT-3 itself introduces [12]. In this viewpoint, we introduce the use of GPT-3 …",8,"https://scholar.google.com/scholar?cluster=6480154719410751452&hl=en&as_sdt=0,5",njgl2TVu
The AI teacher test: Measuring the pedagogical ability of blender and GPT-3 in educational dialogues,https://arxiv.org/abs/2205.07540,48,"https://scholar.google.com/scholar?cites=12860084282866602170&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:uhDZBYUyeLIJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","How can we test whether state-of-the-art generative models, such as Blender and GPT-3, are good AI teachers, capable of replying to a student in an educational dialogue? Designing …",6,"https://scholar.google.com/scholar?cluster=12860084282866602170&hl=en&as_sdt=0,5",mqDMrFSg
Acclimation of metabolism to light in Arabidopsis thaliana: the glucose 6‐phosphate/phosphate translocator GPT2 directs metabolic acclimation,https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.12495,91,"https://scholar.google.com/scholar?cites=18293403186048085030&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:JixlbUY53_0J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Here, we examine the impact of GPT 2 on leaf metabolism … We suggest that GPT 2 activity results in the net import of glucose … We suggest that GPT 2 alters the distribution of metabolites …",15,"https://scholar.google.com/scholar?cluster=18293403186048085030&hl=en&as_sdt=0,5",sJWrBOM7
Generating diverse code explanations using the gpt-3 large language model,https://dl.acm.org/doi/abs/10.1145/3501709.3544280,76,"https://scholar.google.com/scholar?cites=17748641337796976755&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:c-AzqULXT_YJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","Good explanations are essential to efficiently learning introductory programming concepts [10]. To provide high-quality explanations at scale, numerous systems automate the process …",3,"https://scholar.google.com/scholar?cluster=17748641337796976755&hl=en&as_sdt=0,5",xYGMFug4
CodexDB: Synthesizing code for query processing from natural language instructions using GPT-3 Codex,https://dl.acm.org/doi/abs/10.14778/3551793.3551841,32,"https://scholar.google.com/scholar?cites=4435594701807845620&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:9IDcaOFljj0J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… of the Codex variant of GPT-3 [5, 22]. The primary difference between GPT-3 Codex and the original GPT-3 model lies in the data used for pre-training. GPT-3 Codex is trained on code …",3,"https://scholar.google.com/scholar?cluster=4435594701807845620&hl=en&as_sdt=0,5",32nM4tTW
Why can GPT learn in-context? language models secretly perform gradient descent as meta-optimizers,https://aclanthology.org/2023.findings-acl.247/,26,"https://scholar.google.com/scholar?cites=13764081875768701916&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:3POVcIrXA78J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… We analyze two off-the-shelf pretrained GPT models with 1.3 billion and 2.7 billion model … In the rest of this paper, we call them GPT 1.3B and GPT 2.7B for short. All experiments are …",no_versions_number,no_all_versions_link,N5BFjM2C
Putting GPT-3's Creativity to the (Alternative Uses) Test,https://arxiv.org/abs/2206.08932,36,"https://scholar.google.com/scholar?cites=8749985831314724913&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:MRg3EcExbnkJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Our results show that -on the whole- humans currently outperform GPT-3 when it comes to creative output. But, we believe it is only a matter of time before GPT-3 catches up on this …",4,"https://scholar.google.com/scholar?cluster=8749985831314724913&hl=en&as_sdt=0,5",Kqd0mVCH
Comparing ChatGPT and GPT-4 performance in USMLE soft skill assessments,https://www.nature.com/articles/s41598-023-43436-9,4,"https://scholar.google.com/scholar?cites=6143903519872019998&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… This study aimed to evaluate ChatGPT and GPT-4 on USMLE questions involving communication skills, ethics, empathy, and professionalism. We used 80 USMLE-style questions …",6,"https://scholar.google.com/scholar?cluster=6143903519872019998&hl=en&as_sdt=0,5",EMod7PA9
Use chat gpt to solve programming bugs,http://journal.hmjournals.com/index.php/IJITC/article/view/1679,156,"https://scholar.google.com/scholar?cites=3112500495044141354&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:KmFVorXSMSsJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… Chat GPT in solving programming bugs. The paper examines the characteristics of Chat GPT … The paper also explores the limitations of Chat GPT in solving programming bugs and the …,no_versions_number,no_all_versions_link,0CuGlKbq
Evaluating the logical reasoning ability of chatgpt and gpt-4,https://arxiv.org/abs/2304.03439,72,"https://scholar.google.com/scholar?cites=11618817698807111051&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:i11rTyNVPqEJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… ChatGPT and GPT-4. We also make a performance comparison between ChatGPT and GPT-… GPT-4 shows even higher performance on our manual tests. Among benchmarks, ChatGPT …",2,"https://scholar.google.com/scholar?cluster=11618817698807111051&hl=en&as_sdt=0,5",BbvrfXSa
Considering the possibilities and pitfalls of Generative Pre-trained Transformer 3 (GPT-3) in healthcare delivery,https://www.nature.com/articles/s41746-021-00464-x,112,"https://scholar.google.com/scholar?cites=17562964599989123790&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:zrocSUAvvPMJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… GPT-3 and other technologies are getting close to passing a Turing Test, an assessment of … recently acquired an exclusive license from OpenAI for GPT-3 5 . As with so many …",6,"https://scholar.google.com/scholar?cluster=17562964599989123790&hl=en&as_sdt=0,5",0RbFog7c
Detecting hate speech with gpt-3,https://arxiv.org/abs/2103.12407,64,"https://scholar.google.com/scholar?cites=12250894342645195179&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:q6E1In_rA6oJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… such as OpenAI’s GPT-3 can generate hateful … GPT-3 to identify sexist and racist text passages with zero-, one-, and few-shot learning. We find that with zero- and one-shot learning, GPT…",2,"https://scholar.google.com/scholar?cluster=12250894342645195179&hl=en&as_sdt=0,5",XhVGCrQu
"Feature-based detection of automated language models: tackling GPT-2, GPT-3 and Grover",https://peerj.com/articles/cs-443/,52,"https://scholar.google.com/scholar?cites=11114907266845126636&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:7C-2F0UVQJoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… -3 model is surprisingly good, being even higher than for the GPT-2 xl generations. Given that GPT-3 has more than 100 times as many parameters, we would have expected GPT-3 …",9,"https://scholar.google.com/scholar?cluster=11114907266845126636&hl=en&as_sdt=0,5",tHs4TQI5
Artificial Intelligence and Ten Societal Megatrends: An Exploratory Study Using GPT-3,https://www.mdpi.com/2079-8954/11/3/120,39,"https://scholar.google.com/scholar?cites=13344277723782620460&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:LKU4huNlMLkJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","This paper examines the potential of artificial intelligence (AI) to address societal megatrends, with a specific focus on OpenAI’s Generative Pre-Trained Transformer 3 (GPT-3). To do …",6,"https://scholar.google.com/scholar?cluster=13344277723782620460&hl=en&as_sdt=0,5",0l9EJ5Bi
Exploring the potential of Chat-GPT as a supportive tool for sialendoscopy clinical decision making and patient information support,https://link.springer.com/article/10.1007/s00405-023-08104-8,12,"https://scholar.google.com/scholar?cites=14365605548689148520&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… of p < 0.026 when comparing the level of agreement between Chat-GPT and EESS. The mean number of therapeutic alternatives suggested by Chat-GPT was 3.33 (SD: 1.2; Min: 2, Max…",3,"https://scholar.google.com/scholar?cluster=14365605548689148520&hl=en&as_sdt=0,5",1jGL4JfM
Memory-assisted prompt editing to improve gpt-3 after deployment,https://arxiv.org/abs/2201.06009,43,"https://scholar.google.com/scholar?cites=16500204067779963998&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:Xux6hS2A_OQJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… We pair GPT-3 with a growing memory of recorded cases where the … GPT-3, substantially increasing its accuracy over the queries with different kinds of misunderstandings by the GPT3. …",4,"https://scholar.google.com/scholar?cluster=16500204067779963998&hl=en&as_sdt=0,5",2eKapxhf
Gpt-based generation for classical chinese poetry,https://arxiv.org/abs/1907.00151,45,"https://scholar.google.com/scholar?cites=6049473043120349687&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:92F9Za4L9FMJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… In contrast with the existing methods, we propose a poetry generation method based on the pre-trained model GPT. The underlying model of our proposed method is simply a GPT …",2,"https://scholar.google.com/scholar?cluster=6049473043120349687&hl=en&as_sdt=0,5",Z7jRQsFa
Who Were the 10 Best and 10 Worst US Presidents? The Opinion of Chat GPT (Artificial Intelligence),no_link,41,"https://scholar.google.com/scholar?cites=5704098605180502732&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:zMKVtXUHKU8J:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",no_snippet,2,"https://scholar.google.com/scholar?cluster=5704098605180502732&hl=en&as_sdt=0,5",nljSH8zN
Promptcap: Prompt-guided image captioning for vqa with gpt-3,http://openaccess.thecvf.com/content/ICCV2023/html/Hu_PromptCap_Prompt-Guided_Image_Captioning_for_VQA_with_GPT-3_ICCV_2023_paper.html,1,"https://scholar.google.com/scholar?cites=13181599755326767662&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,… Large language models (LMs) like GPT-3 are particularly helpful for … GPT-3 and existing datasets. We demonstrate PROMPTCAP’s effectiveness on an existing pipeline in which GPT-3 …,2,"https://scholar.google.com/scholar?cluster=13181599755326767662&hl=en&as_sdt=0,5",YySMrPgp
GPTeach: Interactive TA Training with GPT Based Students,https://edarxiv.org/r23bu/download/?format=pdf,19,"https://scholar.google.com/scholar?cites=17995479566019344345&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:2TdiN1LJvPkJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… will this work stand given the new GPT technology? Recent integrations of GPT-4 [26] in … show the promise of educational chatbots using GPT technology. AI tutors are quickly improving …,6,"https://scholar.google.com/scholar?cluster=17995479566019344345&hl=en&as_sdt=0,5",N68xOKQE
Solving challenging math word problems using gpt-4 code interpreter with code-based self-verification,https://arxiv.org/abs/2308.07921,15,"https://scholar.google.com/scholar?cites=14436709317034576117&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,… different constraints on the Code Usage Frequency of GPT-4 Code Interpreter. We found … potential of GPT-4 Code Interpreter. This method employs a zero-shot prompt on GPT-4 Code …,2,"https://scholar.google.com/scholar?cluster=14436709317034576117&hl=en&as_sdt=0,5",ypw6ovrO
Sgpt: Gpt sentence embeddings for semantic search,https://arxiv.org/abs/2202.08904,51,"https://scholar.google.com/scholar?cites=5362716377993943356&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:PJl_BSIybEoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… • For SGPT-CE in §3, we show how to use GPT for search via log probabilities without fine-tuning. At 6.1B parameters, it has the best unsupervised performance on BEIR by a margin of …",2,"https://scholar.google.com/scholar?cluster=5362716377993943356&hl=en&as_sdt=0,5",nGpO6Tbs
Performance of ChatGPT and GPT-4 on neurosurgery written board examinations,https://journals.lww.com/neurosurgery/fulltext/9900/performance_of_chatgpt_and_gpt_4_on_neurosurgery.844.aspx,21,"https://scholar.google.com/scholar?cites=9661826474333406874&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:moYb5PyzFYYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… This study evaluated the performance of ChatGPT (GPT-3.5) and GPT-4 on a mock … , respectively) exceeded the passing threshold, with GPT-4 outperforming both ChatGPT and human …",no_versions_number,no_all_versions_link,qQe9u3UJ
"Generative pre-trained transformers (GPT)-based automated data mining for building energy management: Advantages, limitations and the future",https://www.sciencedirect.com/science/article/pii/S2666123323000521,3,"https://scholar.google.com/scholar?cites=227063396302774288&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:EOAetvSwJgMJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… GPT) might be capable of addressing this issue, as some GPT models such as GPT-3.5 and GPT… This study explores the potential of the most advanced GPT model (GPT-4) in three data …",no_versions_number,no_all_versions_link,2mt0sORF
Artificial intelligence as the next GPT: A political-economy perspective,https://www.nber.org/system/files/chapters/c14025/c14025.pdf,74,"https://scholar.google.com/scholar?cites=8233586009725474728&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:qBdQOdqSQ3IJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… , be it in services that directly benefit from the growth of the GPT (eg, the venture capital (VC) … the unfolding GPT (“laggards”), and those in industries where the adoption of the new GPT …",6,"https://scholar.google.com/scholar?cluster=8233586009725474728&hl=en&as_sdt=0,5",etsU70xf
Gpt-ner: Named entity recognition via large language models,https://arxiv.org/abs/2304.10428,39,"https://scholar.google.com/scholar?cites=476678889960394760&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:CFAExOyAnQYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… More importantly, we find that GPT-NER exhibits a greater ability in the low-… , GPT-NER performs significantly better than supervised models. This demonstrates the capabilities of GPT-…",2,"https://scholar.google.com/scholar?cluster=476678889960394760&hl=en&as_sdt=0,5",sw4GAndv
GPT: an Excel spreadsheet for thermobarometric calculations in metapelitic rocks,https://www.sciencedirect.com/science/article/pii/0098300496000076,87,"https://scholar.google.com/scholar?cites=2638689321598919834&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:miSFJvWBniQJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… In its present version, GPT mainly is oriented to pelitic or quartzo-feldspatic … of each that are now supported by GPT. Mineral analyses easily can be imported into GPT (Fig. 1). Three …",8,"https://scholar.google.com/scholar?cluster=2638689321598919834&hl=en&as_sdt=0,5",435aztLk
"ChatGPT, GPT-4, and other large language models: The next revolution for clinical microbiology?",https://academic.oup.com/cid/article-abstract/77/9/1322/7217675,7,"https://scholar.google.com/scholar?cites=9550759344357451975&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"ChatGPT, GPT-4, and Bard are highly advanced natural language process–based computer programs (chatbots) that simulate and process human conversation in written or spoken …",5,"https://scholar.google.com/scholar?cluster=9550759344357451975&hl=en&as_sdt=0,5",Eu1D6LsF
Interpretability in the wild: a circuit for indirect object identification in gpt-2 small,https://arxiv.org/abs/2211.00593,66,"https://scholar.google.com/scholar?cites=16774486063708325192&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:SEUTLTPyyugJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… In this work, we bridge this gap by presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI). Our explanation …",4,"https://scholar.google.com/scholar?cluster=16774486063708325192&hl=en&as_sdt=0,5",5r2qNAuX
Assessing discourse relations in language generation from GPT-2,https://arxiv.org/abs/2004.12506,18,"https://scholar.google.com/scholar?cites=10856395095322490763&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:i3f9zdGpqZYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5",… We examine to what extent does GPT-2 generate texts that uphold plausible discourse … — and organic generation directly from GPT-2. We find that GPT-2 generates valid discourse …,5,"https://scholar.google.com/scholar?cluster=10856395095322490763&hl=en&as_sdt=0,5",C3tckVja
Can GPT-4 Perform Neural Architecture Search?,https://arxiv.org/abs/2304.10970,20,"https://scholar.google.com/scholar?cites=10527179400811319490&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:whArwOMNGJIJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… of using GPT-… GPT-4 possessed knowledge relevant for our target task, focusing specifically on the design of Convolution Neural Networks (CNNs). We began by simply prompting GPT-…",2,"https://scholar.google.com/scholar?cluster=10527179400811319490&hl=en&as_sdt=0,5",BjfP98Ww
Dare: Data augmented relation extraction with gpt-2,https://arxiv.org/abs/2004.13845,52,"https://scholar.google.com/scholar?cites=5994527225782486089&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:SUQsYcDWMFMJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Specifically, given a RE task we fine-tune one pretrained GPT-2 model per relation type and … training data with GPT-2 for RE. In Table 1 we show some generated examples with GPT-2 …",5,"https://scholar.google.com/scholar?cluster=5994527225782486089&hl=en&as_sdt=0,5",xuq71kQv
GPTEval: A survey on assessments of ChatGPT and GPT-4,https://arxiv.org/abs/2308.12488,10,"https://scholar.google.com/scholar?cites=2433913119916994229&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… and limitations of these GPT models (see Appendix A). We focus on ChatGPT and GPT-4, because many evaluation reports have come to similar conclusions – ChatGPT and GPT-4 are …",2,"https://scholar.google.com/scholar?cluster=2433913119916994229&hl=en&as_sdt=0,5",hdRuJ0lP
"Hallusionbench: You see what you think? or you think what you see? an image-context reasoning benchmark challenging for gpt-4v (ision), llava-1.5, and other multi …",https://arxiv.org/abs/2310.14566,13,"https://scholar.google.com/scholar?cites=16632318392973274660&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… in the images, demonstrating that GPT-4V and LLaVA-1.5 … shows the promising video understanding of GPT-4V, we also … From the comparison, we found that GPT-4V is unable to …",2,"https://scholar.google.com/scholar?cluster=16632318392973274660&hl=en&as_sdt=0,5",kpOBXvKw
GPT-4 versus radiologists in chest radiography: is it time to further improve radiological reporting?,https://pubs.rsna.org/doi/full/10.1148/radiol.231701,3,"https://scholar.google.com/scholar?cites=11360967132080188483&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"Editor: We found the article by Dr Sun and colleagues (1), published in the June 2023 issue of Radiology, both fascinating and thought-provoking. Dr Sun and colleagues compared the …",3,"https://scholar.google.com/scholar?cluster=11360967132080188483&hl=en&as_sdt=0,5",wkFxM5Sc
Understanding emails and drafting responses--An approach using GPT-3,https://arxiv.org/abs/2102.03062,23,"https://scholar.google.com/scholar?cites=1608611910996401994&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:Sh9noALwUhYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… GPT-3 can answer emails with sufficient quality to augment human effort. To that end, we discuss GPT-3’… Second, we consider challenges relating to this application, like GPT-3’s lack of …",2,"https://scholar.google.com/scholar?cluster=1608611910996401994&hl=en&as_sdt=0,5",yGWb0YRD
Gpt-driver: Learning to drive with gpt,https://arxiv.org/abs/2310.01415,6,"https://scholar.google.com/scholar?cites=7336271763350554600&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… unified language tokens, and we instruct a GPT-3.5 model to understand these tokens and … potential of GPT-3.5, we propose a prompting-reasoning-finetuning strategy, where GPT-3.5 …",3,"https://scholar.google.com/scholar?cluster=7336271763350554600&hl=en&as_sdt=0,5",wLbVIWBO
Will ChatGPT/GPT-4 be a lighthouse to guide spinal surgeons?,https://link.springer.com/article/10.1007/s10439-023-03206-0,19,"https://scholar.google.com/scholar?cites=6263909657622122570&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:SpC0X6Xg7VYJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… ChatGPT/GPT-4, has led to advancements in various fields, including healthcare. This study explores the prospective role of ChatGPT/GPT-… Furthermore, ChatGPT/GPT-4 may enhance …",3,"https://scholar.google.com/scholar?cluster=6263909657622122570&hl=en&as_sdt=0,5",upF0qAIU
Towards generic anomaly detection and understanding: Large-scale visual-linguistic model (gpt-4v) takes the lead,https://arxiv.org/abs/2311.02782,6,"https://scholar.google.com/scholar?cites=5693437844922847290&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… GPT-4V(ision), a powerful visual-linguistic model, to address anomaly detection tasks in a generic manner. We investigate the application of GPT… To enhance GPT-4V’s performance, we …",2,"https://scholar.google.com/scholar?cluster=5693437844922847290&hl=en&as_sdt=0,5",Slf5Fqy3
Is chat gpt biased against conservatives? an empirical study,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4359405,76,"https://scholar.google.com/scholar?cites=5174766117527615566&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:Tvj15l120EcJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","This paper used Chat GPT to create Irish Limericks. During the creation process, a pattern was observed that seemed to create positive Limericks for liberal politicians and negative …",3,"https://scholar.google.com/scholar?cluster=5174766117527615566&hl=en&as_sdt=0,5",3fzqweYI
Gpt-3 models are poor few-shot learners in the biomedical domain,https://arxiv.org/abs/2109.02555,31,"https://scholar.google.com/scholar?cites=12301787146034645676&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:rIrcTTu6uKoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… transformer language models, ie GPT-3 and BioBERT, in few-… Although GPT-3 had already achieved near state-of-the-art … is orders of magnitude smaller than GPT-3. Regarding that …",2,"https://scholar.google.com/scholar?cluster=12301787146034645676&hl=en&as_sdt=0,5",l3LrFM2o
"Comparison of GPT-3.5, GPT-4, and human user performance on a practice ophthalmology written examination",https://www.nature.com/articles/s41433-023-02564-2,23,"https://scholar.google.com/scholar?cites=11311825621817778914&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:4mKcbXit-5wJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… Hence, we compared the performance of GPT-3.5, GPT-4, and human … GPT-4 but not GPT-3.5 achieved the passing threshold for a practice ophthalmology written examination. GPT-3 …",3,"https://scholar.google.com/scholar?cluster=11311825621817778914&hl=en&as_sdt=0,5",LvgofQz9
An early evaluation of gpt-4v (ision),https://arxiv.org/abs/2310.16534,6,"https://scholar.google.com/scholar?cites=11688624601117600790&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"In this paper, we evaluate different abilities of GPT-4V including visual understanding, language understanding, visual puzzle solving, and understanding of other modalities such as …",no_versions_number,no_all_versions_link,mPqjBcQ3
Evaluating GPT-4 on impressions generation in radiology reports,https://pubs.rsna.org/doi/full/10.1148/radiol.231259,17,"https://scholar.google.com/scholar?cites=15397396503599888152&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"Evaluating GPT4 on Impressions Generation in Radiology Reports | Radiology RSNA ""skipMainNavigation"" closeDrawerMenuopenDrawerMenu Home Journals All Journals Radiology RadioGraphics …",4,"https://scholar.google.com/scholar?cluster=15397396503599888152&hl=en&as_sdt=0,5",PathOKxB
Exploring ocr capabilities of gpt-4v (ision): A quantitative and in-depth evaluation,https://arxiv.org/abs/2310.16809,6,"https://scholar.google.com/scholar?cites=7703323566044468754&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"This paper presents a comprehensive evaluation of the Optical Character Recognition (OCR) capabilities of the recently released GPT-4V(ision), a Large Multimodal Model (LMM). We …",2,"https://scholar.google.com/scholar?cluster=7703323566044468754&hl=en&as_sdt=0,5",83CjubSL
Is GPT-3 All You Need for Visual Question Answering in Cultural Heritage?,https://link.springer.com/chapter/10.1007/978-3-031-25056-9_18,10,"https://scholar.google.com/scholar?cites=12369551809961023642&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:mliEn9V5qasJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… For this purpose, we investigate on the use of GPT-3 for generating descriptions for artworks analyzing the quality of generated descriptions through captioning metrics. Finally we …",5,"https://scholar.google.com/scholar?cluster=12369551809961023642&hl=en&as_sdt=0,5",KBmtjlZe
"Speak, memory: An archaeology of books known to chatgpt/gpt-4",https://arxiv.org/abs/2305.00118,34,"https://scholar.google.com/scholar?cites=17453128633054532245&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:lRJqaAX4NfIJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","In this work, we carry out a data archaeology to infer books that are known to ChatGPT and GPT-4 using a name cloze membership inference query. We find that OpenAI models have …",2,"https://scholar.google.com/scholar?cluster=17453128633054532245&hl=en&as_sdt=0,5",Zulqz2NV
"Chat2vis: Generating data visualisations via natural language using chatgpt, codex and gpt-3 large language models",https://ieeexplore.ieee.org/abstract/document/10121440/,45,"https://scholar.google.com/scholar?cites=9982767730750775432&as_sdt=2005&sciodt=0,5&hl=en","https://scholar.google.com/scholar?q=related:iOChMlzqiYoJ:scholar.google.com/&scioq=gpt&hl=en&as_sdt=0,5","… (LLMs) such as ChatGPT and GPT-3 to convert free-form … This work compares the performance of GPT-3, Codex and … performances of two types of GPT-3 models and ChatGPT for …",3,"https://scholar.google.com/scholar?cluster=9982767730750775432&hl=en&as_sdt=0,5",0463uLwy
"Cognitive network science reveals bias in GPT-3, GPT-3.5 Turbo, and GPT-4 mirroring math anxiety in high-school students",https://www.mdpi.com/2504-2289/7/3/124,7,"https://scholar.google.com/scholar?cites=16739772640004023830&as_sdt=2005&sciodt=0,5&hl=en",no_related_pages_link,"… To begin, we focus on the results from GPT-3 and GPT-3.5. We start with an overall analysis of … Finally, we compare the results from GPT-3 and GPT-3.5 with results from GPT-4 to gain a …",3,"https://scholar.google.com/scholar?cluster=16739772640004023830&hl=en&as_sdt=0,5",2YuAaOIs
